Time(s),A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0.010,997.8494,1001.3975,1006.2910,1001.0444,995.0796,996.4579,1001.9874,996.3357,1007.6725,1002.5478,1001.6467,992.6873,990.8213,998.4048,995.2684,1008.1949,1000.4117,1002.7118,996.8481,999.6271,1000.4657,1000.8743,1001.3323,995.2951,987.9035,997.7651,998.5549,1000.0999,991.5410,997.9179,1001.3236,1004.8537,986.7350,1002.3486,1002.8865,999.3537,1008.7176,995.1829,996.5138,1038.5938,998.0410,1001.3713,1024.8360,313.0692,1005.7077,996.6261,986.8543,1000.4327,1007.3221,999.2884,1002.8488,1001.5162,999.8341,991.2876,1008.2589,996.2809,987.4301,1108.3998,930.6862,996.5594,1004.7109,1000.2834,996.6131,1009.9657,1004.7573,998.8433,1039.8096,1009.6595,994.1878,952.0965,902.3858,997.2571,1005.5381,999.0748,996.6019,999.9582,1007.1906,990.0942,993.3091,1005.3661,994.5228,1005.6337,995.8059,1012.6010,1000.0000,1000.5784,998.0441,950.9834,795.9299,1196.9898,1001.4509,998.6468,816.2469,1002.5228,996.4972,1016.0424
0.020,999.0861,1002.5168,1004.5688,1002.2458,999.8919,995.6309,999.8684,995.7583,1002.8039,993.9746,995.5504,996.5452,1003.7857,1007.2850,1001.1067,993.8017,1005.0822,999.2483,1004.7674,996.2784,1003.1331,997.7479,1006.5622,1007.2620,992.1009,1005.7097,1002.3414,1000.3521,1000.2539,993.0946,1003.7835,986.5462,996.6763,1001.9659,993.9137,999.0264,1011.7539,998.6046,997.0153,1044.4655,997.1709,1003.8217,1020.6009,292.6977,1000.5814,1000.2726,1022.3891,998.2375,998.1312,1000.1120,988.9795,1007.3541,1003.0695,995.2964,1002.4647,996.5590,999.1223,1104.3824,930.1358,993.1398,1001.2736,999.3427,1000.5789,999.0372,999.5358,1000.5623,1047.0228,992.9450,1001.5487,948.3166,892.9888,941.1576,993.2531,985.4285,1003.1291,1001.4387,1004.9872,995.8013,1007.0647,993.4568,988.9373,997.0044,995.2041,1007.6885,1000.0000,998.7687,998.7332,951.8598,802.7369,1195.1099,1001.3274,1003.3767,814.8267,1002.1405,1009.4244,984.1569
0.030,999.6057,998.0655,1001.0266,997.7822,998.3589,1001.9505,995.8412,999.4693,1005.5421,1002.1933,997.0930,997.8591,1002.6440,1001.3435,1006.2279,993.5296,1000.0813,998.7862,989.5715,997.5998,1010.4892,1009.3538,988.6280,995.4065,996.7923,1002.6637,996.0219,1001.4797,998.9740,996.6448,1003.5967,988.5767,996.4330,995.6729,1003.1111,1009.9611,1002.4090,1006.0650,996.3724,1050.8720,989.7418,998.9728,1043.2379,279.3024,994.2105,1003.6553,994.9589,1005.1350,995.0286,992.4065,1000.4277,1003.9718,1000.2066,995.2068,1004.6091,1000.0658,994.6946,1110.0756,933.7965,996.4053,998.3718,1007.2596,997.5383,1000.7999,998.3604,997.1832,989.5718,997.5895,1004.8917,953.8356,899.8807,1005.0553,1000.3481,993.9028,994.8992,1003.9759,1016.0407,990.9661,1000.8646,996.9751,996.1606,997.7487,993.7054,997.5641,1000.0000,997.8745,997.1466,948.6207,804.6797,1197.9122,1001.3266,998.4699,805.8603,990.3598,997.9178,1020.7034
0.040,997.9818,997.8364,999.0121,997.6460,1000.6873,1000.0536,992.3458,995.9199,1003.4652,1003.0466,1000.5263,997.0703,1002.8634,1003.0754,999.5911,1006.9854,1003.9410,992.7769,997.1416,998.4302,996.5356,996.0794,1001.2774,1005.1763,993.3640,1000.7948,1006.1361,995.7774,999.7497,994.5139,1001.6602,1006.1589,985.0125,997.6736,1001.0738,1001.6327,1006.7377,1005.0463,1003.7875,1047.4578,996.5206,986.2889,971.8876,300.2372,1003.7534,1004.0395,994.8815,997.0564,1002.2813,1008.0857,1004.9760,1007.5127,1011.5389,995.1630,1001.4664,1003.8364,1004.4378,1098.9442,929.4853,996.4098,1001.6168,996.2120,997.3774,1000.3290,997.7696,996.0750,954.4083,999.4547,1003.8950,962.1620,898.4879,1028.5520,1011.9775,1003.8243,1002.0859,1003.1574,1001.3653,998.2079,998.2315,999.3223,999.7030,994.7511,995.3023,996.1929,1000.0000,1001.5614,1000.9596,951.1344,805.9123,1200.2721,998.5819,996.8284,809.0558,1005.8582,1003.8858,991.9504
0.050,999.0579,995.9641,997.8879,997.7961,999.8345,1003.2321,999.5412,1004.6035,994.6087,1004.1850,1000.7032,997.2691,1002.9348,1000.9521,1004.1674,1007.0140,998.8286,999.9339,998.8643,1005.4431,1008.1663,990.7844,992.9108,1000.4400,996.1902,996.7241,998.0492,992.6489,1000.0574,995.7077,998.9667,992.9303,1002.3307,1002.8053,1004.9639,980.1604,997.9881,1001.2355,989.2157,1042.7373,1001.0238,1002.6800,981.8850,300.8886,1004.8858,999.1488,1007.9255,995.8915,989.5167,1005.9988,1007.4265,1003.6333,997.9801,993.8671,1011.0682,999.2660,1002.2532,1107.0608,930.9457,1004.1487,1000.8546,1015.0771,995.4380,1003.2136,999.6288,993.6430,990.9894,993.2795,1005.2674,943.2620,894.3789,958.0019,998.4784,1012.9252,998.6295,1000.4876,1004.1203,994.6972,1006.3956,999.9015,1001.0665,1002.0916,994.0930,1005.0000,1000.0000,999.5877,999.9952,948.7968,799.3351,1194.8358,1000.9448,1000.1209,817.6557,986.6952,1003.6286,993.9894
0.060,997.7686,1003.0435,996.2021,999.7742,1000.9382,997.6214,1000.1735,996.8614,999.7236,997.3786,997.7832,998.2676,997.6224,1001.0288,998.0476,1006.2084,993.1389,994.3899,1009.4463,1000.8364,997.2876,1010.4610,1002.0816,994.0507,988.3615,998.0936,998.0401,996.3631,994.2963,1000.6763,991.8612,998.0627,1005.8413,1001.7646,995.4962,991.7282,1008.2105,999.0275,997.1672,1042.8659,1001.9298,994.2691,971.5864,291.7239,998.5773,999.0742,990.5221,1013.5327,983.2965,997.8045,992.9899,1004.1144,1000.3201,1000.8072,1010.1761,993.5614,981.4238,1102.6615,936.5951,993.9100,1003.5409,1004.1569,999.2132,994.2582,994.5984,992.2943,1014.8873,1001.5808,1000.9520,953.5370,897.9200,940.1302,1005.7777,997.5634,1003.9752,1003.5617,1001.0858,986.8846,998.7241,998.8413,999.2178,1012.0727,1007.2269,1006.1676,1000.0000,1002.1533,994.7341,948.8320,804.6779,1194.6018,999.8431,1005.6330,824.0946,1005.4042,991.2904,978.6527
0.070,997.0537,1001.5063,1003.8473,999.9492,1006.2424,1005.9241,998.3694,1000.5420,1001.6766,997.4016,992.9916,1004.0958,995.9926,998.8940,996.5569,998.7449,1000.5816,998.6912,999.1437,1007.1436,998.8540,996.6311,1002.4728,1001.1800,995.3959,999.7293,996.3684,999.4504,998.0814,998.0917,1002.9719,1004.3959,998.4041,1000.4782,1007.4322,996.1482,992.5532,989.0104,1010.4208,1046.6245,1000.8041,994.7371,1025.9014,313.9097,999.1209,1004.6522,1001.6788,1018.6594,998.3142,1002.6016,1004.1720,997.6659,999.0523,994.1280,1003.3068,1000.8096,1002.1293,1103.8587,931.2228,989.8065,1001.9749,1000.3212,1002.2944,997.1762,996.0355,996.8629,1041.0514,1005.7805,1001.0662,951.0778,902.3086,1009.4667,991.1333,994.6721,999.7403,992.3904,1007.4133,994.1402,1002.6536,1004.3895,991.3236,1010.8870,990.2952,998.6828,1000.0000,1000.1005,1001.0509,946.0795,808.6726,1191.4822,1000.6438,1000.6459,816.3348,1000.2019,990.4773,996.2454
0.080,999.6276,997.0904,1000.0475,997.8343,1001.3043,1001.7573,995.7224,995.9706,1001.6239,998.8816,999.0440,995.6132,999.3722,997.5058,992.8623,995.5332,996.2047,1002.6411,991.0783,995.1990,996.1739,1005.5079,996.9827,1003.1079,1005.4637,1002.5306,1003.8616,996.6870,999.1874,995.5575,1002.8555,1014.8898,980.3675,990.7539,1000.6344,990.4676,983.4232,1001.3698,990.8812,1055.4045,996.1688,1008.6613,1005.4060,304.0729,991.2382,1002.5555,987.8975,972.4168,984.8080,1006.7556,996.4791,1000.0117,1010.6578,993.6241,1009.3953,998.0088,997.6882,1089.2827,930.8123,1003.9229,998.3879,998.2022,999.1120,1003.5747,1002.4342,995.7448,1003.2490,992.5299,1001.2296,947.2023,900.8072,967.9954,994.9424,997.8450,1004.8637,996.6951,1000.8153,992.8383,997.1172,998.0779,998.6257,1013.4585,989.6624,1001.3972,1000.0000,1001.9800,997.7196,952.2468,803.3107,1192.4178,997.1853,1000.8391,826.8055,992.9186,998.4925,976.4728
0.090,994.5072,996.4420,1003.6672,996.2673,1006.2629,998.1348,1002.8120,997.5744,996.5088,992.3119,1011.8974,998.0857,999.4394,998.6359,994.0861,997.7985,997.9910,999.4853,993.9578,1003.4586,1003.2458,992.8665,999.6103,998.4886,993.5465,999.0911,1008.1408,1000.7928,1001.4991,998.8008,999.4474,991.6696,999.2045,993.5582,996.6119,995.7698,992.8002,994.0374,998.2160,1046.4101,1003.6651,997.8154,975.2373,309.1401,1006.8244,1003.5529,977.2530,1000.4148,984.9460,1004.7657,989.3743,985.8262,999.3183,1000.0238,1007.2347,1005.7889,997.3978,1109.6108,937.5751,999.5037,996.5522,1002.2745,998.6517,999.4021,991.5834,1002.3180,968.9336,1001.2269,989.3236,954.4264,898.6262,910.6572,1032.4810,999.8327,998.5750,1002.5239,1001.6132,991.9990,997.0148,997.9768,990.4486,1006.6552,980.5590,1005.0009,1000.0000,1000.6454,1006.6183,948.7711,799.4401,1186.8199,1001.2378,1001.5722,828.0274,1004.2117,1006.6460,1005.5444
0.100,996.1036,1001.6820,989.4240,997.4303,1004.4085,1003.4634,1001.7717,999.5128,1000.6675,1007.2494,996.7790,1000.3197,1002.7895,988.7403,996.0698,988.3886,999.1568,999.5888,998.0179,998.5697,996.5845,999.0533,995.7424,1000.1770,989.0775,1006.4849,1005.0681,1001.3615,996.2507,998.1477,993.5843,999.7635,990.2729,1005.7313,995.3308,1002.7242,998.4399,999.5724,1005.4408,1041.3332,997.0640,995.3718,957.0753,299.7722,1000.3890,996.3736,997.2052,992.6400,988.3894,1000.4340,1001.6536,995.5308,1010.7289,1011.4772,1010.6735,1001.4226,993.5152,1093.8476,935.7093,1005.5977,1000.1516,997.8623,996.4112,995.9311,999.4918,1002.9606,952.3199,995.6230,997.0487,950.8359,900.8030,941.5609,1063.1167,999.4180,1004.6901,1012.6575,1005.0828,996.6553,996.7326,1001.2468,992.4793,1012.1293,986.0648,994.8267,1000.0000,999.6052,998.7188,953.1290,804.0717,1194.9163,1003.1970,1000.9841,836.1269,992.6388,990.3281,997.1122
